,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
2112.0,13.10.2016 00:00:00.000,1.10103,1.10581,1.09855,1.10479,1030775.375,1.1027101,1.08818,0.0,0.016610000000000014
2117.0,18.10.2016 00:00:00.000,1.10107,1.10263,1.097,1.09746,962075.5,1.1006795,1.09095,-0.006510000000000016,0.0
2120.0,21.10.2016 00:00:00.000,1.09293,1.09295,1.08592,1.08818,951558.3125,1.0929201,1.0982,0.01002000000000014,0.0
2122.0,23.10.2016 00:00:00.000,1.08811,1.08843,1.08742,1.088,42526.0781,1.0962459,1.09707,0.009069999999999911,0.0
2124.0,25.10.2016 00:00:00.000,1.0873,1.0905,1.08511,1.08861,193149.4531,1.0989136,1.10939,0.02078000000000002,0.0
2159.0,29.11.2016 00:00:00.000,1.06188,1.06542,1.05649,1.06472,226346.875,1.0651293,1.07592,0.011199999999999877,0.0
2160.0,30.11.2016 00:00:00.000,1.06472,1.06666,1.05527,1.05903,280866.0313,1.062277,1.06211,0.0030800000000001937,0.0
2164.0,04.12.2016 00:00:00.000,1.06262,1.0627,1.05055,1.05675,24976.7305,1.0511798,1.06421,0.0,-0.007460000000000022
2165.0,05.12.2016 00:00:00.000,1.05675,1.07963,1.05374,1.07564,307861.0,1.0546447,1.06274,0.0,0.012899999999999912
2168.0,08.12.2016 00:00:00.000,1.07591,1.08734,1.05973,1.06211,246892.625,1.0402186,1.04483,0.0,0.017280000000000184
2171.0,11.12.2016 00:00:00.000,1.05312,1.05498,1.05312,1.0546,6896.0801,1.0378666,1.04027,0.0,0.014329999999999954
2173.0,13.12.2016 00:00:00.000,1.06419,1.06671,1.06037,1.06274,209177.1406,1.0463157,1.04263,0.0,0.020110000000000072
2175.0,15.12.2016 00:00:00.000,1.0512,1.05228,1.03665,1.04167,283705.0938,1.0477804,1.04532,0.003649999999999931,0.0
2179.0,19.12.2016 00:00:00.000,1.04466,1.04795,1.03924,1.04027,185142.4375,1.050587,1.04614,0.005870000000000042,0.0
2185.0,25.12.2016 00:00:00.000,1.04416,1.04577,1.0438,1.04523,2361.49,1.0550117,1.04575,0.0005199999999998539,0.0
2189.0,29.12.2016 00:00:00.000,1.04144,1.06526,1.04139,1.05658,179377.0469,1.0649239,1.0529,-0.0036800000000001276,0.0
