,Gmt time,Open,High,Low,Close,Volume
1590,10.05.2015 00:00:00.000,1.11975,1.12065,1.11919,1.11958,10856.96
1591,11.05.2015 00:00:00.000,1.11958,1.12025,1.1131,1.11456,211304.0156
1592,12.05.2015 00:00:00.000,1.11457,1.12787,1.11343,1.12189,222360.6719
1593,13.05.2015 00:00:00.000,1.12187,1.13827,1.12023,1.13469,227775.3125
1594,14.05.2015 00:00:00.000,1.13469,1.14447,1.13406,1.14022,258116.6875
1595,15.05.2015 00:00:00.000,1.14022,1.14669,1.13239,1.14501,224588.75
1597,17.05.2015 00:00:00.000,1.14469,1.14492,1.14375,1.1444,7820.6499
1598,18.05.2015 00:00:00.000,1.14441,1.14468,1.12987,1.13241,196965.0938
1599,19.05.2015 00:00:00.000,1.13242,1.13259,1.11184,1.11425,235738.125
1600,20.05.2015 00:00:00.000,1.11425,1.11522,1.10621,1.11012,246556.6094
1601,21.05.2015 00:00:00.000,1.11014,1.11813,1.10797,1.11091,224327.2969
1602,22.05.2015 00:00:00.000,1.11092,1.12083,1.10023,1.10074,207519.9844
1604,24.05.2015 00:00:00.000,1.10016,1.10095,1.09644,1.09911,12456.2402
1605,25.05.2015 00:00:00.000,1.09911,1.10067,1.0959,1.09682,90453.0
1606,26.05.2015 00:00:00.000,1.09683,1.09706,1.08633,1.08864,226972.5781
1607,27.05.2015 00:00:00.000,1.08864,1.0929,1.08192,1.08975,216670.7969
1608,28.05.2015 00:00:00.000,1.08975,1.09742,1.08671,1.09624,233974.9531
1609,29.05.2015 00:00:00.000,1.09624,1.10062,1.09258,1.09831,208334.75
1611,31.05.2015 00:00:00.000,1.09803,1.09885,1.09521,1.09571,7431.9302
1612,01.06.2015 00:00:00.000,1.09571,1.0979,1.08873,1.09215,223345.2031
1613,02.06.2015 00:00:00.000,1.09219,1.11942,1.09159,1.11476,255799.2813
1614,03.06.2015 00:00:00.000,1.11477,1.1285,1.10794,1.12609,256029.0469
1615,04.06.2015 00:00:00.000,1.12609,1.13798,1.11798,1.12073,263565.6563
1616,05.06.2015 00:00:00.000,1.12071,1.12801,1.10495,1.11103,230747.9063
1618,07.06.2015 00:00:00.000,1.10966,1.11111,1.10945,1.11023,6807.2798
1619,08.06.2015 00:00:00.000,1.11023,1.13068,1.10842,1.128,220008.5469
1620,09.06.2015 00:00:00.000,1.12802,1.13454,1.1214,1.12926,224126.875
1621,10.06.2015 00:00:00.000,1.12926,1.13865,1.126,1.13099,246728.0
1622,11.06.2015 00:00:00.000,1.13099,1.13315,1.1182,1.12458,203174.375
1623,12.06.2015 00:00:00.000,1.12457,1.12965,1.11512,1.12631,214308.9375
1625,14.06.2015 00:00:00.000,1.12102,1.1231,1.12086,1.12242,9272.8701
1626,15.06.2015 00:00:00.000,1.1224,1.12944,1.11891,1.12753,200393.2344
1627,16.06.2015 00:00:00.000,1.12752,1.13298,1.12048,1.12413,190242.3125
